Project_names,Total_tasks,Task_names,Task_dependency_values,Independent_values,total_tasks
Website Redesign,12.0,"Design, UX Research, Prototyping, Coding, Testing, SEO",0.75,0.25,
Mobile App Developmen,15.0,"Wireframing, API Dev, Frontend, Backend, Testing, Deployment",0.8,0.2,
E-commerce Platform,18.0,"DB Design, Checkout, Payment, UI Design, Testing, Launch",0.85,0.15,
CRM System,10.0,"Data Modeling, UI, API Integration, Testing, Deployment",0.7,0.3,
Inventory Management,9.0,"Stock Update, DB Design, UX, API Integration, Testing",0.65,0.35,
Data Migration,8.0,"Data Extraction, Cleaning, Transformation, Importing",0.6,0.4,
HR Management Tool,13.0,"Payroll, Employee Portal, Reporting, Integration",0.78,0.22,
AI Chatbot Integration,11.0,"Bot Training, API Design, Frontend, Testing, Deployment",0.82,0.18,
Cloud Infrastructure,16.0,"VM Setup, Backup, Cloud Security, CI/CD, Monitoring",0.73,0.27,
Cybersecurity Upgrade,20.0,"Firewall, Threat Analysis, Encryption, User Trainin",0.88,0.12,
Online Learning Portal,10.0,"Course Upload, User Interface, Payment, Tracking, Testing",0.83,0.17,
Marketing Analytics,7.0,"Data Collection, Analysis, Dashboard, Reporting",0.67,0.33,
Payroll System,9.0,"Tax Calculation, Pay Structure, Employee Input, Report",0.55,0.45,
IoT Device Integration,12.0,"Device Setup, API, Cloud Sync, Testing, User Input",0.72,0.28,
Blockchain Platform,22.0,"Node Setup, Smart Contracts, Encryption, Testing",0.77,0.23,
Social Media Platform,10.0,"Post Sharing, Feed, Messages, Notifications, Analytics",0.87,0.13,
DevOps Automation,16.0,"CI/CD Pipeline, Monitoring, Versioning, Alerts, Rollbacks",0.7,0.3,
Machine Learning Model,13.0,"Data Preparation, Model Training, Validation, Deployment",0.82,0.18,
SaaS Tool Development,15.0,"Signup, Subscription, Payment Integration, Testing",0.79,0.21,
ERP System,11.0,"Accounting, Inventory, HR, Reporting, CRM Integration",0.81,0.19,
Video Conferencing App,17.0,"Call UI, Recording, Messaging, Notifications, Testing",0.76,0.24,
FinTech Solution,18.0,"Payment Gateway, Fraud Detection, Transaction Logs, Reports",0.84,0.16,
Healthcare Platform,14.0,"Patient Records, Billing, Scheduling, Notifications",0.85,0.15,
Augmented Reality App,12.0,"AR Models, Motion Tracking, UI Design, Testing, Launch",0.73,0.27,
Supply Chain Tracker,9.0,"Shipment Tracking, Inventory, Notifications, Reports",0.74,0.26,
Smart Home System,14.0,"Device Integration, User Interface, Testing, Monitoring",0.71,0.29,
Cloud Data Warehouse,8.0,"Data Upload, Queries, Reporting, Security, Backups",0.8,0.2,
Customer Support Bot,19.0,"NLP Training, Bot Design, Testing, Analytics, Integratio",0.62,0.36,
Video Streaming App,16.0,"Video Upload, Encoding, Player Design, Comments, Analytics",0.88,0.12,

